timestamp,action,detail
2026-03-09 10:57:52,ADD,Added T-shirt (ID=C001)
2026-03-09 10:57:52,ADD,Added Jeans (ID=C002)
2026-03-09 10:57:52,ADD,Added Jacket (ID=C003)
2026-03-09 10:57:52,ADD,Added T-shirt (ID=P001)
2026-03-09 10:57:52,ADD,Added Jeans (ID=P002)
2026-03-09 10:57:52,ADD,Added Baseball Cap (ID=C004)
2026-03-09 10:57:52,ADD,Added Sneakers (ID=C005)
2026-03-09 22:30:15,ADD,Added T-shirt (ID=C001)
2026-03-09 22:30:15,ADD,Added Jeans (ID=C002)
2026-03-09 22:30:15,ADD,Added Jacket (ID=C003)
2026-03-09 22:30:15,ADD,Added T-shirt (ID=P001)
2026-03-09 22:30:15,ADD,Added Jeans (ID=P002)
2026-03-09 22:30:15,ADD,Added Baseball Cap (ID=C004)
2026-03-09 22:30:15,ADD,Added Sneakers (ID=C005)
2026-03-09 22:30:15,ADD,Added Socks (ID=C006)
2026-03-09 22:30:15,REMOVE,Removed Socks (ID=C006)
